spp,lon,lat
Lc,-83.1535,40.80436
Lc,-77.05224,38.78829
Lc,-79.56023,44.77096
Lc,-89.59258,48.36777
Lc,-72.75498,43.04436
Lc,-79.39929,43.83542
Lc,-71.32683,42.4817
Lc,-72.86709,43.92847
Lc,-73.94429,41.59496
Lc,-72.13211,43.0833
Lc,-89.90268,42.991
Lc,-85.68025,40.10532
Lc,-72.2495,43.41125
Lc,-89.59287,48.00428
Lc,-65.34006,45.72167
Lc,-97.92294,50.35609
Lc,-64.0051,45.01876
Lc,-73.77108,45.65529
Lc,-83.8394,41.5412
Lc,-113.49145,49.00452
Lc,-72.42858,42.5187
Lc,-73.067,44.82698
Lc,-72.92487,41.79497
Lc,-78.40419,37.94266
Lc,-81.69899,43.67052
Lc,-119.03409,50.72404
Lc,-93.87636,44.95632
Lc,-86.67282,45.85534
Lc,-83.87422,42.55201
Lc,-73.50396,42.56775
Lc,-112.85876,53.6716
Lc,-71.869,43.04366
Lc,-81.39684,36.5015
Lc,-82.37408,35.70413
Lc,-81.17844,41.42459
Lc,-71.0367,46.44731
Lc,-71.53115,43.20937
Lc,-113.954,53.31838
Lc,-71.74169,46.89894
Lc,-89.39943,46.63787
Lc,-103.67573,44.30184
Lc,-81.94124,36.49503
Lc,-74.08107,41.84431
Lc,-86.15799,39.87067
Lc,-72.09252,46.68864
Lc,-72.52155,42.43599
Lc,-77.98045,40.81953
Lc,-100.35549,49.00173
Lc,-74.11373,43.56673
Lc,-73.77898,42.32189
Lc,-71.56098,43.30293
Lc,-107.62015,53.28517
Lc,-79.3537,38.96322
Lc,-84.51518,39.34981
Lc,-78.27495,39.60667
Lc,-82.74724,39.38287
Lc,-73.84655,42.80037
Lc,-73.92661,42.73165
Lc,-72.26448,42.1934
Lc,-96.70542,44.26285
Lc,-73.56115,46.16354
Lc,-113.26868,53.68234
Lc,-63.35648,45.24968
Lc,-76.31753,39.8133
Lc,-86.31097,39.88611
Lc,-88.46722,45.15754
Lc,-72.25414,43.78488
Lc,-100.0611,49.04917
Lc,-93.55705,44.81059
Lc,-119.46014,49.86399
Lc,-85.56044,43.14268
Lc,-96.84192,50.14338
Lc,-89.90266,43.18657
Lc,-87.98648,45.49596
Lc,-88.64669,48.34054
Lc,-84.20664,45.57107
Lc,-78.07121,44.9232
Lc,-94.10345,44.16083
Lc,-82.91349,40.35934
Lc,-71.98795,45.27377
Lc,-114.19518,49.58756
Lc,-79.953,44.7753
Lc,-88.62751,46.56734
Lc,-72.58964,42.86131
Lc,-74.45086,41.91333
Lc,-86.59408,41.85508
Lc,-99.54433,49.88797
Lc,-77.37,41.2
Lc,-82.41964,40.09469
Lc,-73.97824,43.00373
Lc,-73.63544,43.22422
Lc,-69.96549,43.83643
Lc,-84.59467,43.68547
Lc,-86.26757,39.97153
Lc,-89.24889,45.41722
Lc,-90.43398,41.55482
Lc,-75.63447,45.01706
Lc,-113.78364,49.13727
Lc,-113.588,53.65881
Lc,-75.41943,40.33767
Lc,-75.59408,39.93631
Lc,-113.69008,49.02058
Lc,-76.00624,44.50551
Lc,-96.73198,50.23034
Lc,-88.25731,42.01508
Lc,-68.50718,44.40224
Lc,-81.60315,36.63181
Lc,-73.80083,45.25285
Lc,-84.15221,39.66441
Lc,-77.00223,43.89455
Lc,-72.75944,42.61861
Lc,-90.58455,43.70834
Lc,-70.20663,44.12745
Lc,-73.86794,42.47214
Lc,-76.19435,43.69728
Lc,-113.89,49.07616
Lc,-78.45518,44.01082
Lc,-69.97825,47.32996
Lc,-75.91009,41.13764
Lc,-83.34605,41.60313
Lc,-87.82693,42.55798
Lc,-88.69419,41.33784
Lc,-116.48749,51.3954
Lc,-84.35925,39.19578
Lc,-83.0234,42.6035
Lc,-66.3918,48.04684
Lc,-72.62488,46.46874
Lc,-76.99686,41.43407
Lc,-71.24808,46.99748
Lc,-96.61004,51.18932
Lc,-113.46517,53.50764
Lc,-77.31309,44.37841
Lc,-76.8216,44.87541
Lc,-71.73701,44.52725
Lc,-75.69309,41.38962
Lc,-72.36452,43.60421
