spp,lon,lat
Lc,-74.34995,40.61602
Lc,-78.2856,41.99334
Lc,-79.8931,42.00136
Lc,-76.27813,42.10853
Lc,-76.37505,42.39012
Lc,-75.70408,41.55341
Lc,-74.32685,41.93582
Lc,-74.61855,41.43764
Lc,-73.62819,42.33729
Lc,-76.72656,42.19183
Lc,-73.96959,40.7777
Lc,-79.22089,42.11825
Lc,-75.79759,45.37193
Lc,-78.05296,41.77766
Lc,-71.46287,43.10796
Lc,-76.19141,44.12363
Lc,-76.34392,42.96869
Lc,-73.03882,43.5848
Lc,-76.58212,42.47554
Lc,-75.20415,40.68792
Lc,-73.00184,42.38152
Lc,-72.25966,42.46832
Lc,-72.544,41.2546
Lc,-73.26872,43.96838
Lc,-76.58781,43.92808
Lc,-74.82479,41.08323
Lc,-71.26065,42.36252
Lc,-73.65083,42.79667
Lc,-72.28129,44.31359
Lc,-72.52586,41.69754
Lc,-71.95212,43.28136
Lc,-78.08324,44.30254
Lc,-75.01042,41.11256
Lc,-79.18089,43.82631
Lc,-75.47641,45.37431
Lc,-73.95926,45.33171
Lc,-78.81408,43.87636
Lc,-78.16451,44.19172
Lc,-71.78333,45.32778
Lc,-75.74494,42.02171
Lc,-73.55181,41.44931
Lc,-73.57306,41.67572
Lc,-77.00444,40.42639
Lc,-73.7739,41.0469
Lc,-79.87108,44.86718
Lc,-75.30364,45.25468
Lc,-73.42364,43.1642
Lc,-75.30024,44.596
Lc,-79.25,44.24167
Lc,-79.64444,44.01944
Lc,-79.2,43.73333
Lc,-78.9,44.08333
Lc,-78.85,44
Lc,-76.26389,44.21111
Lc,-78.68167,44.11469
Lc,-78.8993,44.51643
Lc,-76.05687,44.53708
Lc,-79.61204,44.56345
Lc,-74.98597,41.67206
Lc,-72.36669,43.91949
Lc,-75.29424,40.77964
Lc,-72.44025,44.67978
Lc,-79.857,41.59609
Lc,-72.43066,43.26083
Lc,-74.18543,43.228
Lc,-73.10658,42.9146
Lc,-79.46433,42.21133
Lc,-72.40508,43.39063
Lc,-77.45943,42.70444
Lc,-79.11617,42.60325
Lc,-74.69823,40.72741
Lc,-73.20934,43.80854
Lc,-79.93537,44.59432
Lc,-75.41428,44.89233
Lc,-72.93997,44.90249
Lc,-76.60982,44.23628
Lc,-75.51594,45.46928
Lc,-74.96683,40.23105
Lc,-79.49966,40.71369
Lc,-79.6967,43.1919
Lc,-72.98857,43.31159
Lc,-78.53268,44.33898
Lc,-73.06855,44.443
Lc,-79.71748,40.08786
Lc,-76.50833,45.51111
Lc,-75.1,45.31667
Lc,-76.61667,45.71667
Lc,-74.4,45.4
Lc,-75.55,44.7
Lc,-75.41667,44.8
Lc,-72.51518,44.46325
Lc,-79.09793,44.50686
Lc,-74.90942,40.07699
Lc,-71.64598,43.11203
Lc,-78.90213,42.60875
Lc,-74.44422,43.47546
Lc,-79.75585,43.47483
Lc,-72.33633,43.69231
Lc,-78.35516,44.21197
Lc,-73.15459,44.94357
Lc,-72.3723,43.49849
Lc,-70.19428,44.07393
Lc,-78.13482,44.64065
Lc,-79.8801,44.33141
Lc,-79.99313,43.52518
Lc,-74.96914,41.39092
Lc,-73.61433,43.38347
Lc,-72.09941,44.23939
Lc,-72.00582,44.53941
Lc,-72.19534,43.64505
Lc,-75.48486,45.01662
Lc,-79.9294,43.85483
Lc,-73.89933,45.43331
Lc,-74.41933,40.47823
Lc,-72.79737,43.67174
Lc,-72.92272,41.4709
Lc,-77.91791,41.03488
Lc,-73.225,45.67
Lc,-71.73111,45.46611
Lc,-72.55,45.97
Lc,-73.72421,45.12777
Lc,-71.838,45.956
Lc,-73.87388,40.86388
Lc,-72.52522,42.98604
Lc,-79.90029,40.4404
Lc,-74.5133,41.5386
Lc,-72.69639,43.47783
Lc,-72.9118,43.58773
Lc,-75.65092,45.4467
Lc,-73.02782,43.48985
Lc,-73.32833,41.69027
Lc,-72.26138,41.88527
Lc,-72.94916,41.67166
Lc,-73.47833,41.75472
Lc,-72.41277,41.96111
Lc,-72.85888,41.38166
Lc,-72.70083,42.375
Lc,-72.05888,41.47333
Lc,-72.34166,41.47611
Lc,-74.48333,40.775
Lc,-73.35777,41.14138
Lc,-73.30305,41.55194
Lc,-72.46111,41.45305
Lc,-72.83555,41.55361
Lc,-71.40803,43.74956
Lc,-77.98893,43.09642
Lc,-73.32743,44.74385
Lc,-72.24167,45.31194
Lc,-71.98333,45.58333
Lc,-78.37535,42.67727
Lc,-73.3425,41.9925
Lc,-72.09023,45.753
Lc,-73.44611,41.58916
Lc,-72.17416,42.01416
Lc,-73.32916,41.84361
Lc,-72.77944,41.98444
Lc,-72.62778,42.29528
Lc,-72.6169,45.4297
Lc,-72.99552,45.29173
Lc,-73.61194,45.62806
Lc,-74.93667,45.67417
Lc,-75.18694,45.62972
Lc,-73.77417,45.37139
Lc,-72.65083,42.09861
Lc,-72.50388,41.79527
